band	source	artifact_base	predecessors
B01	Bd. 01 - Grundlagen der Logik.tex	registry/_B01	-
B02	Bd. 02 - Theoreme der Logik.tex	registry/_B02	B01
B03	Bd. 03 - Mengenlehre.tex	registry/_B03	B01,B02
B04	Bd. 04 - Totale Relationen.tex	registry/_B04	B01,B02,B03
B05	Bd. 05 - Funktionen.tex	registry/_B05	B01,B02,B03,B04
B06	Bd. 06 - Injektive Funktionen.tex	registry/_B06	B01,B02,B03,B04,B05
B07	Bd. 07 - Surjektive Funktionen.tex	registry/_B07	B01,B02,B03,B04,B05,B06
B08	Bd. 08 - Bijektive Funktionen.tex	registry/_B08	B01,B02,B03,B04,B05,B06,B07
B09	Bd. 09 - Auswahlprinzip.tex	registry/_B09	B01,B02,B03,B04,B05,B06,B07,B08
B10	Bd. 10 - Äquivalenzrelationen.tex	registry/_B10	B01,B02,B03,B04,B05,B06,B07,B08,B09
B11	Bd. 11 - Ordnungsrelationen.tex	registry/_B11	B01,B02,B03,B04,B05,B06,B07,B08,B09,B10
B12	Bd. 12 - Natürliche Zahlen.tex	registry/_B12	B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11
B13	Bd. 13 - Ganze Zahlen.tex	registry/_B13	B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12
B14	Bd. 14 - Rationale Zahlen.tex	registry/_B14	B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13
B15	Bd. 15 - Reelle Zahlen.tex	registry/_B15	B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14
B16	Bd. 16 - Endliche Mengen.tex	registry/_B16	B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15
B17	Bd. 17 - Folgen.tex	registry/_B17	B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16
B18	Bd. 18 - Halbgruppen.tex	registry/_B18	B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17
B19	Bd. 19 - Kommutative Halbgruppen.tex	registry/_B19	B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18
B20	Bd. 20 - Idempotente Halbgruppen.tex	registry/_B20	B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19
B21	Bd. 21 - Kommutative idempotente Halbgruppen.tex	registry/_B21	B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20
B22	Bd. 22 - Halbgruppen mit Nullelement.tex	registry/_B22	B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21
B23	Bd. 23 - Linkskürzbare Halbgruppen.tex	registry/_B23	B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22
B24	Bd. 24 - Rechtskürzbare Halbgruppen.tex	registry/_B24	B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23
B25	Bd. 25 - Kürzbare Halbgruppen.tex	registry/_B25	B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24
B26	Bd. 26 - Endliche Halbgruppen.tex	registry/_B26	B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25
B27	Bd. 27 - Monoide.tex	registry/_B27	B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26
B28	Bd. 28 - Halbringe.tex	registry/_B28	B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27
B29	Bd. 29 - Gruppen und Ringe.tex	registry/_B29	B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28
B30	Bd. 30 - Halbverbände und Verbände.tex	registry/_B30	B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29
B31	Bd. 31 - Frankls Vermutung.tex	registry/_B31	B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30
